City,Income_Lakhs,Age,Car_Age,Digital_Usage_Score,Attire,Cookware,Color_Pref,Hardware_Interest,Service_Interest,Annual_Spend,Switch_Intent
Pune,0.9879439537584024,32,9,8,Saree/Traditional,Cast Iron,Vibrant,OBD,Mobile Oil Change,500000.0,1
Hyderabad,0.3,36,9,7,Western Formal,Cast Iron,Pastel,None,SOS,22636.918633795452,1
Bangalore,1.5427163523407772,60,8,9,Western Formal,Traditional,Vibrant,None,Mobile Oil Change,37405.50292138622,1
Hyderabad,1.4251507533712309,64,10,5,Saree/Traditional,Traditional,Pastel,OBD,SOS,42785.064708079364,1
Hyderabad,0.8622037970786,61,6,10,Saree/Traditional,Traditional,Vibrant,None,SOS,30394.885526051752,1
Delhi,1.1508895611071652,52,1,3,Western Formal,Cast Iron,Vibrant,None,AC Clean,17689.24350672428,0
Bangalore,0.41326739389493083,34,8,6,Western Formal,Cast Iron,Vibrant,None,SOS,23188.732451815253,1
Bangalore,0.1,52,3,5,Western Formal,Cast Iron,Monochrome,None,SOS,37141.393089934056,0
Bangalore,0.9061803152830139,36,7,4,Casual,Traditional,Vibrant,Dashcam,AC Clean,28079.60628591452,1
Hyderabad,3.0564294093725706,37,13,2,Saree/Traditional,Cast Iron,Vibrant,None,None,68672.00831929588,1
Pune,1.0946392195733803,53,6,7,Casual,Traditional,Pastel,OBD,AC Clean,32664.4493868519,1
Bangalore,0.744228695371014,52,12,5,Casual,Traditional,Vibrant,OBD,AC Clean,34010.07985235899,1
Ahmedabad,0.9526121287590827,49,14,4,Saree/Traditional,Smart Electric Pan,Vibrant,OBD,Mobile Oil Change,39272.14231055478,1
Hyderabad,0.3528234140734492,65,6,8,Saree/Traditional,Smart Electric Pan,Monochrome,OBD,Mobile Oil Change,13997.102492132484,1
Delhi,1.4893631344217653,61,7,9,Casual,Smart Electric Pan,Pastel,None,AC Clean,33273.1733309915,1
Pune,0.9480601801325266,57,0,9,Saree/Traditional,Traditional,Monochrome,Dashcam,Mobile Oil Change,18468.61431356658,1
Ahmedabad,1.8787516742386425,41,4,3,Western Formal,Smart Electric Pan,Monochrome,Battery Monitor,AC Clean,36350.125377201635,1
Ahmedabad,1.0351515028953495,34,1,3,Western Formal,Smart Electric Pan,Monochrome,Battery Monitor,Mobile Oil Change,21189.607600789128,0
Delhi,2.030665267011388,24,1,5,Casual,Smart Electric Pan,Vibrant,Battery Monitor,SOS,37650.83202976042,1
Pune,1.6544734495902245,60,14,5,Casual,Cast Iron,Monochrome,Battery Monitor,Mobile Oil Change,51281.79097815588,1
Hyderabad,1.2171580660310064,67,0,10,Saree/Traditional,Traditional,Monochrome,OBD,Mobile Oil Change,25103.320679695407,1
Mumbai,2.148139552410493,18,4,2,Saree/Traditional,Smart Electric Pan,Pastel,None,SOS,38536.554947404096,0
Pune,1.7713760766223257,52,1,1,Casual,Cast Iron,Pastel,None,AC Clean,28320.971599177934,0
Delhi,2.9677276959979353,49,3,8,Casual,Cast Iron,Pastel,Battery Monitor,Mobile Oil Change,52580.46065896565,1
Ahmedabad,0.9543268530130773,53,2,3,Western Formal,Cast Iron,Pastel,Battery Monitor,Mobile Oil Change,23852.09043389709,0
Hyderabad,1.2459696632750763,30,2,1,Western Formal,Smart Electric Pan,Monochrome,Dashcam,SOS,18854.08662828745,0
Pune,2.1412254066065577,23,1,1,Saree/Traditional,Cast Iron,Pastel,Dashcam,SOS,34495.79406753237,0
Mumbai,0.3,31,12,2,Western Formal,Traditional,Vibrant,Dashcam,SOS,24811.89476801033,1
Mumbai,1.9901661379395372,54,5,6,Saree/Traditional,Cast Iron,Monochrome,OBD,None,40355.44715160273,1
Bangalore,1.4635816546088825,65,1,6,Saree/Traditional,Cast Iron,Pastel,None,SOS,25128.37710516469,1
Bangalore,0.6670735467316513,32,13,3,Saree/Traditional,Cast Iron,Monochrome,OBD,AC Clean,34822.29500160807,1
Delhi,0.382176204869327,64,13,4,Western Formal,Cast Iron,Pastel,OBD,Mobile Oil Change,34773.39558146825,1
Pune,0.7965063161218295,21,7,2,Casual,Traditional,Monochrome,None,Mobile Oil Change,31053.595842849583,1
Pune,0.3,57,7,2,Casual,Smart Electric Pan,Pastel,Dashcam,None,19869.714493259475,1
Ahmedabad,0.9062763337850978,33,12,7,Western Formal,Traditional,Vibrant,None,Mobile Oil Change,35056.74610673404,1
Ahmedabad,1.573533800005549,45,13,1,Casual,Traditional,Pastel,Battery Monitor,Mobile Oil Change,46879.12658338696,1
Ahmedabad,0.9142196154187032,33,11,7,Saree/Traditional,Smart Electric Pan,Monochrome,Dashcam,AC Clean,37095.100623072874,1
